Region Name,Zipcode
Oakland,15213
Oakland,15260
Oakland,15224
Oakland,15232
Oakland,15201
Oakland,15219
Oakland,15203
Oakland,15222
Oakland,15207
Oakland,15217
Oakland,15282
Oakland,15212
Oakland,15206
Oakland,15209
Shadyside,15206
Shadyside,15232
Shadyside,15232
Shadyside,15224
Shadyside,15206
Shadyside,15217
Shadyside,15208
Shadyside,15201
Shadyside,15207
Shadyside,15203
Shadyside,15218
Shadyside,15219
Shadyside,15223
Shadyside,15215
Shadyside,15222
Squirrel Hill,15217
Squirrel Hill,15207
Squirrel Hill,15213
Squirrel Hill,15232
Squirrel Hill,15120
Squirrel Hill,15260
Squirrel Hill,15218
Squirrel Hill,15208
Squirrel Hill,15203
Squirrel Hill,15206
Squirrel Hill,15224
Squirrel Hill,15201
Squirrel Hill,15219
Squirrel Hill,15227
Squirrel Hill,15221
